# Python compile smoke for model/backtest candidates
Python 3.12.3
PY_COMPILE_PASS advanced_prediction_enhancer.py
PY_COMPILE_PASS complete_end_to_end_validation.py
PY_COMPILE_PASS comprehensive_pre_build_validation.py
PY_COMPILE_PASS comprehensive_production_validation.py
PY_COMPILE_PASS core/engine/ai_model/__init__.py
PY_COMPILE_PASS core/engine/ai_model/data_balancing_v2.py
PY_COMPILE_PASS core/engine/ai_model/feature_engineering_v2.py
PY_COMPILE_PASS core/engine/ai_model/ml_predictor.py
PY_COMPILE_PASS core/engine/ai_model/smote_balancer.py
PY_COMPILE_PASS core/engine/ai_model/xgboost_trainer.py
PY_COMPILE_PASS core/engine/angel_blended_model_trainer.py
PY_COMPILE_PASS core/engine/angel_blended_model_trainer_v2.py
PY_COMPILE_PASS core/engine/angel_blended_training_orchestrator_dryrun.py
PY_COMPILE_PASS core/engine/angel_blended_training_v3.py
PY_COMPILE_PASS core/engine/angel_breakout_predictor.py
PY_COMPILE_PASS core/engine/angel_confidence_calibrator.py
PY_COMPILE_PASS core/engine/angel_failure_point_predictor.py
PY_COMPILE_PASS core/engine/angel_feature_drift_analyzer.py
PY_COMPILE_PASS core/engine/angel_latency_drift_observatory.py
PY_COMPILE_PASS core/engine/angel_model_selector.py
PY_COMPILE_PASS core/engine/angel_multi_model_agreement.py
PY_COMPILE_PASS core/engine/angel_strategy_optimizer.py
PY_COMPILE_PASS core/engine/angel_synthetic_backtester.py
PY_COMPILE_PASS core/engine/breakout_model/__init__.py
PY_COMPILE_PASS core/engine/breakout_model/breakout_detector.py
PY_COMPILE_PASS core/engine/build_angel_training_dataset.py
PY_COMPILE_PASS core/engine/ensemble_predictor.py
PY_COMPILE_PASS core/engine/generate_synthetic_angel_training.py
PY_COMPILE_PASS core/engine/momentum_model/__init__.py
PY_COMPILE_PASS core/engine/momentum_model/momentum_analyzer.py
PY_COMPILE_PASS core/engine/scoring_engine/threshold_calibrator.py
PY_COMPILE_PASS core/engine/system3_phase159_threshold_drift.py
PY_COMPILE_PASS core/engine/system3_phase169_confidence_calibration.py
PY_COMPILE_PASS core/engine/system3_phase169_confidence_calibration_analysis.py
PY_COMPILE_PASS core/engine/system3_phase181_config_drift_detection.py
PY_COMPILE_PASS core/engine/system3_phase183_model_performance_tracking.py
PY_COMPILE_PASS core/engine/system3_phase192_model_comparison_report.py
PY_COMPILE_PASS core/engine/system3_phase206_model_compatibility.py
PY_COMPILE_PASS core/engine/system3_phase211_feature_drift.py
PY_COMPILE_PASS core/engine/system3_phase213_training_window.py
PY_COMPILE_PASS core/engine/system3_phase249_lstm_forward_predictor.py
PY_COMPILE_PASS core/engine/system3_phase249_model_loader.py
PY_COMPILE_PASS core/engine/system3_phase251_model_drift_tracker.py
PY_COMPILE_PASS core/engine/system3_phase252_model_retraining_scheduler.py
PY_COMPILE_PASS core/engine/system3_phase253_shadow_model_validator.py
